soilType,Porosity Min(%),Porosity Max(%),Porosity Mean(%),Permeability category,Permeability Max(m�),Permeability Min(m�),Permeability mean(m�),Description,Bulk Density Min (g/cm�),Bulk Density Max (g/cm�),PSD min(mm),PSD max(mm),Organic soil, **Notes**                                                                 
Unsurveyed/Urban,10,40,25,Highly variable,0.01,0.000000001,0.005000001,"mixed gravel, sand, clay",1.5,2,0.002,10,0," Mixed materials (e.g., sand, gravel, clay); depends on compaction and composition. "
Cambisols,35,55,45,Moderate to low,0.001,0.000001,0.0005005,"silt, sand",1.2,1.6,0.002,2,0," Young soils with variable textures (loamy, silty, or sandy).             "
Luvisols,30,45,37.5,Low to very low,0.00001,0.00000001,0.000005005,"clay, fine silt",1.3,1.6,0.002,0.05,0, Clay-enriched layers impede water movement.                              
Arenosols   ,35,50,42.5,High to very high,0.01,0.00001,0.005005,sand,1.2,1.5,0.05,2,0, Sandy soils allow high permeability; low water retention.                
Leptosols ,10,30,20,Low to very low,0.000001,0.000000001,5.005E-07,"gravel, rock fragments",1.3,1.8,0.002,10,0, Shallow soils over rock; often gravelly or rocky.                        
Stagnosols  ,30,50,40,Very low ,0.000001,0.00000001,0.000000505,"clay, fine silt",1.2,1.6,0.002,0.05,0, Poorly drained soils with water stagnation; clay layers reduce permeability. 
Planosols,35,50,42.5,Low to very low,0.00001,0.00000001,0.000005005,"clay, fine silt",1.3,1.6,0.002,0.05,0, Waterlogging common due to dense subsurface layers.                      
Gleysols,40,60,50,Very low,0.00001,0.00000001,0.000005005,"clay, fine silt",1.1,1.5,0.002,0.05,1, Wetland soils with high water retention but poor drainage.               
Histosols,60,90,75,Low to moderate,0.00001,0.0000001,0.00000505,"Organic matter, highly variable         ",0.1,0.5,0.02,2,1, Organic soils with high porosity but variable permeability.              
Podsols,30,55,42.5,Low to moderate,0.00001,0.0000001,0.00000505,"silt, sand ",1.2,1.6,0.002,2,0," Sandy topsoil is permeable, but clay and organic layers may reduce permeability. "
