easting,northing,elevation,distanceToWatercourse,localAuthority,households,numberOfPostcodeUnits,headcount,Suspect Charged,Porosity Max(%),Permeability category,Permeability Max(m�),Permeability Min(m�),Description,PSD min(mm),Organic soil,predicted medianPrice
472101,108419,40.0,1530.0,Havant,20529.0,1478.0,50906.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,273421.7470982465
313905,113519,130.0,310.0,Mid Devon,9127.0,981.0,23819.0,964,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,331191.2295377692
452325,106646,40.0,1270.0,Fareham,14121.0,1158.0,33652.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,366334.5701228832
532008,174437,20.0,5290.0,Lambeth,8048.0,537.0,18479.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,958515.4360119049
346765,176083,10.0,640.0,North Somerset,13436.0,1087.0,32907.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,440403.8826132581
529597,136745,90.0,630.0,Crawley,27030.0,2243.0,73721.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,406053.1332553855
250353,53862,10.0,130.0,Plymouth,14120.0,792.0,32327.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,291311.81317806104
500739,158609,40.0,1020.0,Woking,13761.0,1254.0,36599.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,653815.9660740502
418847,169121,130.0,260.0,Wiltshire,10445.0,1219.0,24927.0,343,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,625659.1857343133
546019,177982,20.0,530.0,Greenwich,10594.0,600.0,28381.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,430497.66881332407
486242,169497,60.0,460.0,Bracknell Forest,22261.0,1547.0,58053.0,1089,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,4097038.5833333335
438705,115550,30.0,810.0,Southampton,,,,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,514306.91507651296
415647,92806,0.0,480.0,"Bournemouth, Christchurch and Poole",25264.0,1968.0,55303.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,410739.9867493402
528161,106811,60.0,5900.0,Brighton and Hove,39665.0,2541.0,80963.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,528345.191488876
376166,165612,50.0,3060.0,Bath and North East Somerset,30521.0,2703.0,80405.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,826255.8898428781
525287,170137,20.0,2650.0,Merton,34043.0,2621.0,80550.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,580342.0208333333
560784,99116,10.0,1510.0,Eastbourne,13856.0,1293.0,26270.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,318719.4910639469
450957,108188,50.0,890.0,Fareham,19164.0,1533.0,48662.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,474809.28385897307
452890,109666,20.0,330.0,Winchester,9635.0,897.0,23064.0,759,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,381529.2824416378
601229,142520,40.0,230.0,Ashford,15897.0,1350.0,44873.0,1711,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,367957.62480105914
357424,173013,70.0,620.0,"Bristol, City of",12371.0,1058.0,27237.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,432934.70250190253
500740,158617,40.0,1020.0,Woking,13761.0,1254.0,36599.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,655228.6970619773
358574,167947,50.0,160.0,"Bristol, City of",13010.0,812.0,32398.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,276827.4504424375
517691,131138,50.0,1590.0,Horsham,18860.0,1665.0,49602.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,577187.1597954427
565041,174030,20.0,950.0,Gravesham,5912.0,499.0,14332.0,1103,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,659631.0217907762
347855,169310,10.0,140.0,North Somerset,,,,964,60.0,Very low,1e-05,1e-08,"clay, fine silt",0.002,1.0,477208.5803417255
250426,53731,10.0,270.0,Plymouth,12083.0,1431.0,26332.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,274194.46698517574
467455,174345,60.0,850.0,Reading,,,,1089,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,511762.66329898185
464733,152163,90.0,1220.0,Basingstoke and Deane,12181.0,1195.0,30627.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,484895.059459085
